model,seed,dataset,metric,value
ohio_state_roberta,2,geco_test,mae_ffd,35.711574952539735
ohio_state_roberta,2,geco_test,mae_gaze,44.11314922693392
ohio_state_roberta,2,geco_test,bias_trt,4.573129823155057
ohio_state_roberta,2,geco_test,bias_ffd,2.3548068565618223
ohio_state_roberta,2,geco_test,bias_gaze,3.3121740295827067
ohio_state_roberta,2,geco_test,mean_pred_skip,0.5102605232635404
ohio_state_roberta,2,geco_test,mean_human_skip,0.5266514979294474
ohio_state_roberta,2,provo,r_trt,0.5867376211748557
ohio_state_roberta,2,provo,r_ffd,0.2538833556512958
ohio_state_roberta,2,provo,r_gaze,0.5864893614552878
ohio_state_roberta,2,provo,r_skip,0.8699456500423889
ohio_state_roberta,2,provo,mae_trt,48.31738878498651
ohio_state_roberta,2,provo,mae_ffd,18.149942127908588
ohio_state_roberta,2,provo,mae_gaze,32.075443428432536
ohio_state_roberta,2,provo,bias_trt,-14.768837566832076
ohio_state_roberta,2,provo,bias_ffd,4.629490418899337
ohio_state_roberta,2,provo,bias_gaze,-9.063913289992854
ohio_state_roberta,2,provo,mean_pred_skip,0.486047720173044
ohio_state_roberta,2,provo,mean_human_skip,0.44056141672946497
ohio_state_roberta,3,geco_test,r_trt,0.40431110907723444
ohio_state_roberta,3,geco_test,r_ffd,0.14049863706944843
ohio_state_roberta,3,geco_test,r_gaze,0.3417809843949875
ohio_state_roberta,3,geco_test,r_skip,0.7441552396375927
ohio_state_roberta,3,geco_test,mae_trt,62.169503762843576
ohio_state_roberta,3,geco_test,mae_ffd,35.52291176685121
ohio_state_roberta,3,geco_test,mae_gaze,43.91177040562285
ohio_state_roberta,3,geco_test,bias_trt,5.865501056062158
ohio_state_roberta,3,geco_test,bias_ffd,-0.08990941617196313
ohio_state_roberta,3,geco_test,bias_gaze,1.7295433430056733
ohio_state_roberta,3,geco_test,mean_pred_skip,0.5158892615267069
ohio_state_roberta,3,geco_test,mean_human_skip,0.5266514979294474
ohio_state_roberta,3,provo,r_trt,0.5867305785568631
ohio_state_roberta,3,provo,r_ffd,0.2541723581597654
ohio_state_roberta,3,provo,r_gaze,0.5866369695914483
ohio_state_roberta,3,provo,r_skip,0.8717076755369934
ohio_state_roberta,3,provo,mae_trt,48.25698244981107
ohio_state_roberta,3,provo,mae_ffd,17.70645926437055
ohio_state_roberta,3,provo,mae_gaze,32.0893234828098
ohio_state_roberta,3,provo,bias_trt,-13.410907115357759
ohio_state_roberta,3,provo,bias_ffd,2.47194247893475
ohio_state_roberta,3,provo,bias_gaze,-10.624320967350798
ohio_state_roberta,3,provo,mean_pred_skip,0.49135241146005
ohio_state_roberta,3,provo,mean_human_skip,0.44056141672946497
ohio_state_roberta,42,geco_test,r_trt,0.45283662334991703
ohio_state_roberta,42,geco_test,r_ffd,0.14046645394265134
ohio_state_roberta,42,geco_test,r_gaze,0.3418030329405624
ohio_state_roberta,42,geco_test,r_skip,0.7426953553713868
ohio_state_roberta,42,geco_test,mae_trt,59.696737551301034
ohio_state_roberta,42,geco_test,mae_ffd,35.62441944295917
ohio_state_roberta,42,geco_test,mae_gaze,44.43679183859972
ohio_state_roberta,42,geco_test,bias_trt,6.541597306717222
ohio_state_roberta,42,geco_test,bias_ffd,2.2343408693984372
ohio_state_roberta,42,geco_test,bias_gaze,5.766977737702007
ohio_state_roberta,42,geco_test,mean_pred_skip,0.5205469007243722
ohio_state_roberta,42,geco_test,mean_human_skip,0.5266514979294474
ohio_state_roberta,42,provo,r_trt,0.6012700647789335
ohio_state_roberta,42,provo,r_ffd,0.25419714203250676
ohio_state_roberta,42,provo,r_gaze,0.5863277408682159
ohio_state_roberta,42,provo,r_skip,0.871174491641096
ohio_state_roberta,42,provo,mae_trt,44.644820233931256
ohio_state_roberta,42,provo,mae_ffd,18.062201845340862
ohio_state_roberta,42,provo,mae_gaze,31.918089792609017
ohio_state_roberta,42,provo,bias_trt,-11.113517967758128
ohio_state_roberta,42,provo,bias_ffd,4.8168087220226425
ohio_state_roberta,42,provo,bias_gaze,-6.470589886409442
ohio_state_roberta,42,provo,mean_pred_skip,0.49202642652129625
ohio_state_roberta,42,provo,mean_human_skip,0.44056141672946497
